,lecture,professor
0,C프로그래밍및실습,강병현
1,C프로그래밍및실습,김도년
2,C프로그래밍및실습,김천식
3,C프로그래밍및실습,박태순
4,C프로그래밍및실습,전창재
5,C프로그래밍및실습,한동일
6,가상현실,이종원
7,기계학습,김청원
8,기계학습,유성준
9,기계학습,최유경
10,데이터베이스,김미숙
11,데이터베이스,변재욱
12,데이터베이스,신동일
13,멀티미디어프로그래밍,박상일
14,문제해결및실습C++,Rajendra Dhakal
15,문제해결및실습C++,박상일
16,수치해석,Farman ALI
17,수치해석,박문규
18,수치해석,정재동
19,오픈소스SW개론,변정현
20,운영체제,김청원
21,운영체제,박태순
22,운영체제,송재승
23,일반물리및시뮬레이션,송오영
24,자료구조및실습,Muhammad Raheel Bhutta
25,자료구조및실습,송영록
26,자료구조및실습,송원선
27,자료구조및실습,신동규
28,자료구조및실습,최준연
29,패턴인식,권순일
30,확률통계및프로그래밍,김해광
31,확률통계및프로그래밍,안수엽
32,확률통계및프로그래밍,유영환
