,lecture,professor,class time
8,C프로그래밍및실습,강병현,월14:00-16:00
0,C프로그래밍및실습,김도년,화17:00-19:00
1,C프로그래밍및실습,김천식,수16:30-18:30
6,C프로그래밍및실습,김천식,수10:30-12:30
5,C프로그래밍및실습,박태순,화16:30-18:30
9,C프로그래밍및실습,박태순,목16:30-18:30
4,C프로그래밍및실습,이찬화,수15:00-17:00
2,C프로그래밍및실습,전창재,화16:30-18:30
7,C프로그래밍및실습,전창재,목16:30-18:30
3,C프로그래밍및실습,한동일,월16:30-18:30
52,가상현실,이종원,화목12:00-13:30
54,기계학습,김청원,월수09:00-10:30
57,기계학습,유성준,화목16:30-18:00
55,기계학습,정철,화목10:30-12:00
56,기계학습,최유경,월수12:00-13:30
40,데이터베이스,김미숙,화목10:30-12:00
41,데이터베이스,변재욱,화목10:30-12:00
43,데이터베이스,변재욱,화목12:00-13:30
42,데이터베이스,신동일,화목09:00-10:30
44,데이터베이스,신동일,화목10:30-12:00
25,멀티미디어프로그래밍,박상일,화목15:00-16:30
22,문제해결및실습:C++,Rajendra Dhakal,화목09:00-10:30
24,문제해결및실습:C++,Rajendra Dhakal,화목12:00-13:30
21,문제해결및실습:C++,박상일,화목12:00-13:30
23,문제해결및실습:C++,박상일,화목13:30-15:00
48,수치해석,Farman ALI,화목13:30-15:00
50,수치해석,권윤기,"화18:00-19:30,목16:30-18:00"
51,수치해석,권윤기,"화18:00-19:30,목16:30-18:00"
49,수치해석,박문규,수15:00-18:00
47,수치해석,정재동,화목09:00-10:30
45,오픈소스SW개론,변정현,월13:30-16:30
46,오픈소스SW개론,변정현,수13:30-16:30
34,운영체제,김도년,화목13:30-15:00
35,운영체제,김청원,월수10:30-12:00
38,운영체제,김청원,월수12:00-13:30
37,운영체제,박태순,화목13:30-15:00
39,운영체제,박태순,화목15:00-16:30
36,운영체제,송재승,월수10:30-12:00
32,일반물리및시뮬레이션,송오영,월수10:30-12:00
33,일반물리및시뮬레이션,송오영,월수12:00-13:30
12,자료구조및실습,Muhammad Raheel Bhutta,"수12:00-14:00,금15:00-17:00"
10,자료구조및실습,박동현,화목15:00-17:00
14,자료구조및실습,배시영,화목13:30-15:30
18,자료구조및실습,배시영,화목15:30-17:30
15,자료구조및실습,송영록,"금10:30-12:30,금12:30-14:30"
19,자료구조및실습,송영록,"목13:30-15:30,목15:30-17:30"
13,자료구조및실습,송원선,금09:00-13:00
16,자료구조및실습,신동규,화목08:30-10:30
20,자료구조및실습,신동규,화목10:30-12:30
11,자료구조및실습,최준연,"월13:30-15:30,월18:00-20:00"
17,자료구조및실습,최준연,"월16:00-18:00,수18:00-20:00"
53,패턴인식,권순일,월수15:00-16:30
28,확률통계및프로그래밍,Mohammad Jalil Piran,화목12:00-13:30
27,확률통계및프로그래밍,Muhammad Attique,화목13:30-15:00
30,확률통계및프로그래밍,Muhammad Attique,화목15:00-16:30
29,확률통계및프로그래밍,김해광,화목10:30-12:00
26,확률통계및프로그래밍,안수엽,금09:00-12:00
31,확률통계및프로그래밍,유영환,월수10:30-12:00
